ID;heure_debut;heure_fin;messagerie;utilisation;entite;utilisation_frequence;tache1;tache2;tache3;tache4;taches_autres;modules_utilises;qualite_reponses;valeur_apportee;gain_temps;fonctionalites_attendues;frequence_utilisation;donnees_attendues;autres_IA
14;2/17/25 14:12:50;2/17/25 14:17:49;anonymous;Oui;Commerce;3;En tant qu'outil d'aide a la redaction de propositions type RFI (Request For Information) ou Candidatures;NA;;;;75% BidGPT (Chat)- 25% Paraphrase;Satisfaisante;Forte;Essentiel;References a jour pouvant être trouvees sur la base de mots cles.;De temps en temps ;Systeme documentaire offres du Groupe. Analyses sectorielles. Bench avec la concurrence (ESN).;ChatGPT,ThalesGPT,
15;2/17/25 14:11:39;2/17/25 14:24:06;anonymous;Oui;Commerce;3;En tant qu'outil d'aide a la redaction de propositions type RFI (Request For Information) ou Candidatures;En tant qu'outil d'aide a la redaction d'offres techniques dans le cadre de RAO (Reponse a Appel d'Offre) ou RFP (Request for Proposal);;;;50% BidGPT (Chat) - 50% Paraphrase;Satisfaisante;Forte;Moyen;Imager / Apporter plus de valeur dans les reponses (cas concrets,... Exemple : Quelles sont nos principales references en infogerance ? ....);Jamais;SWING, MyCV, ;ThalesGPT,BidGPT,
16;2/17/25 14:15:44;2/17/25 14:27:10;anonymous;Oui;Commerce;5;En tant qu'outil d'aide a la redaction d'offres techniques dans le cadre de RAO (Reponse a Appel d'Offre) ou RFP (Request for Proposal);"Pour rechercher des informations relatives a nos metiers et clients ?;Autre (ex : presentations, etc…)";;;pour reformuler synthetiser et structurer des paragraphes de maniere plus elegante ;75% BidGPT (Chat)- 25% Paraphrase;Tres satisfaisante;Excellente;Essentiel;"Compte rendu en rendez vous, directement taper mes notes ou qu'il ecoute mes rendez-vous pour me proposer en parallele des elements pertinents, ou qu'il me fasse un compte rendu structure.
2) Qu'il me propose des elements auquel je n'aurais pas pense ";De temps en temps ;pouvoir directement integrer des offres, des documents specialise sur un sujet ou des CV pour que BidGPT puisse utiliser pour repondre aux questions que je vais lui poser, faire de la mise en forme de CV dans my CV avec un Template particulier ;BidGPT,ThalesGPT,
17;2/17/25 14:25:24;2/17/25 14:40:47;anonymous;Oui;Bid management;5;En tant qu'outil d'aide a la redaction d'offres techniques dans le cadre de RAO (Reponse a Appel d'Offre) ou RFP (Request for Proposal);;;;;100% BidGPT (Chat);Tres satisfaisante;Forte;Moyen;"Lien vers les documents de reference avec source des schemas et images
Analyse de documents par upload (un cahier des charges par exemple)

";Regulierement;"Fiches de reference des projets
site internet Thalesgroup
processus 5.1, pour clarifier les attendus des gate/process
retex/post mortem pour clarifier les bonnes pratiques de construction d'offre
";BidGPT,ThalesGPT,Autre (Gemini, Copilot, Grok ou autre),
18;2/17/25 14:42:08;2/17/25 14:42:25;anonymous;Non;;;;;;;;;;;;;;;ThalesGPT,
19;2/17/25 14:51:15;2/17/25 14:51:27;anonymous;Non;;;;;;;;;;;;;;;Aucun,
20;2/17/25 14:10:14;2/17/25 15:11:29;anonymous;Oui;Commerce;2;En tant qu'outil d'aide a la redaction de propositions type RFI (Request For Information) ou Candidatures ;En tant qu'outil d'aide a la redaction d'offres techniques dans le cadre de RAO (Reponse a Appel d'Offre) ou RFP (Request for Proposal);Pour rechercher des informations relatives a nos metiers et clients;;;50% BidGPT (Chat) - 50% Paraphrase;Tres satisfaisante;Forte;Essentiel;"je pense a l'annuaire THALES


";Regulierement;"Integrer les documents administratif pour les consultations (KBIS, Assurances etc)
Nos partenariats passes et partenaires sur les differents marches";BidGPT,ThalesGPT,Autre (Gemini, Copilot, Grok ou autre),
21;2/17/25 15:12:34;2/17/25 15:12:55;anonymous;Non;;;;;;;;;;;;;;;ThalesGPT,ChatGPT,Autre (Gemini, Copilot, Grok ou autre),
22;2/17/25 15:16:30;2/17/25 15:22:28;anonymous;Oui;Autre;1;Autre (ex : presentations, etc…);;;;Proposition de table des matieres sur documents de management en version 0 (PMP, PAQ, plans specifiques, ...) identifies dans la RAO mais attendus en version definitive en RL.;100% BidGPT (Chat);Satisfaisante;Forte;Essentiel;Obtenir des formulations de pratiques (des propositions) qui aideraient a l'organisation du futur projet (exemple : OBS/WBS, gestion des R&O, gestion des ressources, ...);De temps en temps ;gestion des ressources;BidGPT,ThalesGPT,
23;2/17/25 15:37:29;2/17/25 15:40:08;anonymous;Oui;PM;2;En tant qu'outil d'aide a la redaction d'offres techniques dans le cadre de RAO (Reponse a Appel d'Offre) ou RFP (Request for Proposal);Pour rechercher des informations relatives a nos metiers et clients ?;;;;100% BidGPT (Chat);Satisfaisante;Moyen;Moyen;pas des fonctionnalites mais un elargissement de la base de connaissance sur laquelle se base l'outil;Regulierement;Panorama, references swing, offres de references validees par les BU;BidGPT,ThalesGPT,Autre (Gemini, Copilot, Grok ou autre),
24;2/17/25 16:43:35;2/17/25 16:43:46;anonymous;Non;;;;;;;;;;;;;;;ChatGPT,
25;2/17/25 17:13:12;2/17/25 17:18:06;anonymous;Oui;Bid management;2;En tant qu'outil d'aide a la redaction d'offres techniques dans le cadre de RAO (Reponse a Appel d'Offre) ou RFP (Request for Proposal);En tant qu'outil d'aide a la redaction de propositions type RFI (Request For Information) ou Candidatures; Pour rechercher des informations relatives a nos metiers et clients;Autre (ex : presentations, etc…);Extraction d'information dans le document client (ex : les enjeux);75% BidGPT (Chat)- 25% Paraphrase;Satisfaisante;Moyen;Moyen;". Lien vers la source 
. Lecture des pdfs";De temps en temps ;". Integration des references 
. Augmenter le nombre de doc en entree (beaucoup plus de propal, livre blanc etc)
. Integration des CV / d'une fonctionnalite en lien avec les CVs ?";Autre (Gemini, Copilot, Grok ou autre),
26;2/17/25 18:41:45;2/17/25 18:44:21;anonymous;Oui;Bid management;2;En tant qu'outil d'aide a la redaction d'offres techniques dans le cadre de RAO (Reponse a Appel d'Offre) ou RFP (Request for Proposal);Pour rechercher des informations relatives a nos metiers et clients;;;;100% BidGPT (Chat);Satisfaisante;Forte;Essentiel;"Pre construction d'une reponse aux exigences. (conformite)
pre construction d'une reponse technique sur la base d'elements existants (reuse)";Regulierement;swing;BidGPT,ThalesGPT,ChatGPT,
27;2/17/25 19:13:14;2/17/25 19:17:48;anonymous;Oui;Bid management;4;En tant qu'outil d'aide a la redaction d'offres techniques dans le cadre de RAO (Reponse a Appel d'Offre) ou RFP (Request for Proposal);En tant qu'outil d'aide a la redaction de propositions type RFI (Request For Information) ou Candidatures;Pour rechercher des informations relatives a nos metiers et clients;;;75% BidGPT (Chat)- 25% Paraphrase;Tres satisfaisante;Forte;Essentiel;possibilite de trouver les sources qui ont permis de construire les reponses avec des liens cliquables qui renvoient directement sur les documents sources ;Regulierement;WING, MyCV;BidGPT,ThalesGPT,ChatGPT,Autre (Gemini, Copilot, Grok ou autre),
28;2/18/25 8:54:04;2/18/25 8:59:45;anonymous;Oui;Bid management;3;En tant qu'outil d'aide a la redaction d'offres techniques dans le cadre de RAO (Reponse a Appel d'Offre) ou RFP (Request for Proposal);En tant qu'outil d'aide a la redaction de propositions type RFI (Request For Information) ou Candidatures;Pour rechercher des informations relatives a nos metiers et clients;;;75% Paraphrase - 25% BidGPT (Chat);Satisfaisante;Moyen;Moyen;la possibilite de faire analyser et integrer nos propres documents , ;Regulierement;DocInsight quand il sera operationnel ;ChatGPT,BidGPT,ThalesGPT,
29;2/18/25 13:48:04;2/18/25 13:48:15;anonymous;Non;;;;;;;;;;;;;;;ThalesGPT,
30;2/18/25 13:40:26;2/18/25 13:51:03;anonymous;Oui;Bid management;1;Pour rechercher des informations relatives a nos metiers et clients;En tant qu'outil d'aide a la redaction d'offres techniques dans le cadre de RAO (Reponse a Appel d'Offre) ou RFP (Request for Proposal);;;;100% BidGPT (Chat);Satisfaisante;Faible;Faible;"je pense qu'il serait bien de pouvoir utiliser Bid GPT en lui definissant nous meme le perimetre documentaire exact (upload de fichiers, liens web, liens vers outils Thales en ligne, videos) sur lequel nous voulons qu'il travaille.  
Se rapprocher d'un outil de type https://notebooklm.google/ serait bien car il permettrait d'ingerer nos proposition,  les elements de MyCV par exemple, des elements client (CCTP, presentation de strategie ministerielle)......et autre pour ensuite pour produire des exec sum, des CVs sous un format particulier (en connectant a un prompteur de slides), des grilles de reponses a des exigences....etc ";Regulierement;"MyCV avec outil de prompt pour generer des CV en PPT
Possibilite d'avoir un ou plusieurs espaces personnels ou placer des fichiers specifiques a une RAO (CCTP, CCAP, annexes, autres elements du client)";ThalesGPT,Autre (Gemini, Copilot, Grok ou autre),BidGPT,
31;2/18/25 14:10:32;2/18/25 14:10:41;anonymous;Non;;;;;;;;;;;;;;;Aucun,
32;2/18/25 15:18:23;2/18/25 15:18:41;anonymous;Non;;;;;;;;;;;;;;;ThalesGPT,Autre (Gemini, Copilot, Grok ou autre),
33;2/18/25 15:59:50;2/18/25 16:00:36;anonymous;Non;;;;;;;;;;;;;;;ThalesGPT,ChatGPT,
34;2/18/25 17:11:55;2/18/25 17:12:18;anonymous;Non;;;;;;;;;;;;;;;ThalesGPT,ChatGPT,Autre (Gemini, Copilot, Grok ou autre),
35;2/18/25 17:48:37;2/18/25 17:48:47;anonymous;Non;;;;;;;;;;;;;;;Aucun,
36;2/24/25 9:01:19;2/24/25 9:01:28;anonymous;Non;;;;;;;;;;;;;;;Aucun,
37;2/25/25 9:33:48;2/25/25 9:47:16;anonymous;Oui;Autre;1;"Pour rechercher des informations relatives a nos metiers et clients ?;Autre (ex : presentations, etc…)";;;;Des pitchs de presentation etayes par des realisations concretes;50% BidGPT (Chat) - 50% Paraphrase;Satisfaisante;Moyen;Moyen;pas d'idee pour l'instant;Regulierement;References, Swing, offres de la DI, la distinction des offres gagnantes ou perdantes et les lettres de decision/notation client;ThalesGPT,
38;2/28/25 11:21:48;2/28/25 11:27:06;anonymous;Oui;Commerce;3;En tant qu'outil d'aide a la redaction de propositions type RFI (Request For Information) ou Candidatures; Pour rechercher des informations relatives a nos metiers et clients;;;;75% BidGPT (Chat)- 25% Paraphrase;Satisfaisante;Moyen;Essentiel;pouvoir injecter et/ou recevoir un document word, excel ou powerpoint;De temps en temps ;swing, mycv;BidGPT,ThalesGPT,ChatGPT,
39;03/06/2025 17:42;03/06/2025 17:44;anonymous;Oui;Bid management;1;En tant qu'outil d'aide a la redaction d'offres techniques dans le cadre de RAO (Reponse a Appel d'Offre) ou RFP (Request for Proposal);;;;;100% BidGPT (Chat);Tres satisfaisante;Moyen;Moyen;Production de slides ;De temps en temps ;Swing, Diapason;BidGPT,ThalesGPT,
40;03/07/2025 14:45;03/07/2025 14:47;anonymous;Oui;Bid management;1;En tant qu'outil d'aide a la redaction d'offres techniques dans le cadre de RAO (Reponse a Appel d'Offre) ou RFP (Request for Proposal);;;;;100% BidGPT (Chat);Satisfaisante;Moyen;Essentiel;C'est complique de savoir ce dont est possible l'outil, des exemples de prompts seraient apprecies. ;Regulierement;Swing, planches de gate ;ChatGPT,ThalesGPT,Autre (Gemini, Copilot, Grok ou autre),
41;03/11/2025 15:07;03/11/2025 15:10;anonymous;Oui;Commerce;1;Pour rechercher des informations relatives a nos metiers et clients;;;;;100% BidGPT (Chat);Satisfaisante;Moyen;Essentiel;pas de vision;De temps en temps ;myCV;ThalesGPT,ChatGPT,
42;03/11/2025 15:21;03/11/2025 15:21;anonymous;Non;;;;;;;;;;;;;;;Aucun,
43;03/11/2025 15:19;03/11/2025 15:27;anonymous;Oui;Bid management;4;En tant qu'outil d'aide a la redaction d'offres techniques dans le cadre de RAO (Reponse a Appel d'Offre) ou RFP (Request for Proposal);En tant qu'outil d'aide a la redaction de propositions type RFI (Request For Information) ou Candidatures;Pour rechercher des informations relatives a nos metiers et clients;Autre (ex : presentations, etc…);traduction ;75% BidGPT (Chat)- 25% Paraphrase;Satisfaisante;Forte;Essentiel;"Realisation de presentation Power Point pour des soutenances 
Mise en page et correction des fautes de syntaxe et orthographe d'un document Word (Memoire Technique)
Faire des schemas de synthese a partir d'un prompt";Regulierement;"MyCV
Diapason 
BPU Client 
plus de matiere ( PAQ, PAS, Dva, DAT, PMP...)
";ThalesGPT,ChatGPT,Autre (Gemini, Copilot, Grok ou autre),BidGPT,
44;03/11/2025 15:40;03/11/2025 15:44;anonymous;Oui;Bid management;4;Pour rechercher des informations relatives a nos metiers et clients;En tant qu'outil d'aide a la redaction de propositions type RFI (Request For Information) ou Candidatures ;En tant qu'outil d'aide a la redaction d'offres techniques dans le cadre de RAO (Reponse a Appel d'Offre) ou RFP (Request for Proposal);;;75% BidGPT (Chat)- 25% Paraphrase;Excellente;Forte;Essentiel;Ajout temporaire de cahier des charges pour analyse, ajout des references.;Regulierement;Swing, panorama;BidGPT,ThalesGPT,ChatGPT,Autre (Gemini, Copilot, Grok ou autre),
45;03/11/2025 15:59;03/11/2025 16:01;anonymous;Oui;Commerce;3;En tant qu'outil d'aide a la redaction de propositions type RFI (Request For Information) ou Candidatures;"Pour rechercher des informations relatives a nos metiers et clients ?;Autre (ex : presentations, etc…)";;;Strategie, comprehension de grands enjeux clients,...;100% BidGPT (Chat);Tres satisfaisante;Excellente;Essentiel; ;De temps en temps ;Swing, MyCV;ThalesGPT,BidGPT,
46;03/11/2025 16:00;03/11/2025 16:04;anonymous;Oui;Commerce;4;En tant qu'outil d'aide a la redaction de propositions type RFI (Request For Information) ou Candidatures;En tant qu'outil d'aide a la redaction d'offres techniques dans le cadre de RAO (Reponse a Appel d'Offre) ou RFP (Request for Proposal);;;;100% BidGPT (Chat);Tres satisfaisante;Excellente;Essentiel;"lien avec les profils types (MyCV)
Analyse concurrence
Analyse de marche";Regulierement;Swing et MyCV;ThalesGPT,BidGPT,
47;03/11/2025 16:39;03/11/2025 16:39;anonymous;Non;;;;;;;;;;;;;;;Aucun,
48;03/11/2025 16:29;03/11/2025 16:58;anonymous;Oui;Bid management;3;En tant qu'outil d'aide a la redaction d'offres techniques dans le cadre de RAO (Reponse a Appel d'Offre) ou RFP (Request for Proposal);;;;;50% BidGPT (Chat) - 50% Paraphrase;Tres satisfaisante;Forte;Essentiel;Integration d'images/illustrations/graphiques - Aujourd'hui BidGPT genere uniquement du texte;Regulierement;MyCV;BidGPT,ThalesGPT,
49;3/13/25 10:45:09;3/13/25 10:45:38;anonymous;Non;;;;;;;;;;;;;;;ChatGPT,
50;3/20/25 15:57:46;3/20/25 15:58:01;anonymous;Non;;;;;;;;;;;;;;;ChatGPT,Aucun,
51;3/20/25 15:58:15;3/20/25 15:59:13;anonymous;Non;;;;;;;;;;;;;;;Aucun,
52;3/20/25 15:59:26;3/20/25 15:59:56;anonymous;Non;;;;;;;;;;;;;;;Aucun,
53;3/20/25 16:01:24;3/20/25 16:01:39;anonymous;Non;;;;;;;;;;;;;;;ThalesGPT,
54;3/20/25 15:57:57;3/20/25 16:04:04;anonymous;Oui;Commerce;3;En tant qu'outil d'aide a la redaction d'offres techniques dans le cadre de RAO (Reponse a Appel d'Offre) ou RFP (Request for Proposal);En tant qu'outil d'aide a la redaction de propositions type RFI (Request For Information) ou Candidatures;;;;100% BidGPT (Chat);Satisfaisante;Forte;Moyen;?;Jamais;References, CV, ;BidGPT,
55;3/20/25 16:14:29;3/20/25 16:14:54;anonymous;Non;;;;;;;;;;;;;;;Aucun,
56;3/20/25 17:01:58;3/20/25 17:07:52;anonymous;Non;;;;;;;;;;;;;;;Aucun,
57;3/20/25 17:07:37;3/20/25 17:07:55;anonymous;Non;;;;;;;;;;;;;;;ChatGPT,Autre (Gemini, Copilot, Grok ou autre),
58;3/20/25 16:01:35;3/20/25 17:16:28;anonymous;Oui;Autre;2;Pour rechercher des informations relatives a nos metiers et clients;Autre (ex : presentations, etc…);;;Presentations client hors RAO/RFI/RFP;100% BidGPT (Chat);Tres satisfaisante;Forte;Essentiel;Illustrations des propos repondus (schemas, processus, tableaux...) ;Regulierement;Cartographie des competences, par exemple le taux de certification en cloud XXX ou le nombre de personnes ayant la competence Java en senior ;ThalesGPT,BidGPT,Autre (Gemini, Copilot, Grok ou autre),
59;3/20/25 17:20:55;3/20/25 17:21:21;anonymous;Non;;;;;;;;;;;;;;;ThalesGPT,ChatGPT,Autre (Gemini, Copilot, Grok ou autre),
60;3/20/25 17:41:03;3/20/25 17:52:25;anonymous;Non;;;;;;;;;;;;;;;ChatGPT,
61;3/20/25 20:42:39;3/20/25 20:44:53;anonymous;Oui;Bid management;2;Pour rechercher des informations relatives a nos metiers et clients;;;;;100% BidGPT (Chat);Satisfaisante;Moyen;Moyen;  ;Regulierement;swing;ChatGPT,
62;3/21/25 8:42:26;3/21/25 8:42:42;anonymous;Non;;;;;;;;;;;;;;;ThalesGPT,ChatGPT,
63;3/21/25 8:56:23;3/21/25 8:58:29;anonymous;Oui;PM;3;En tant qu'outil d'aide a la redaction d'offres techniques dans le cadre de RAO (Reponse a Appel d'Offre) ou RFP (Request for Proposal);;;;;100% BidGPT (Chat);Satisfaisante;Forte;Essentiel;"- Acces au documents source
- Workflow pour proposer l'integration de propositions commerciales ou de bid texte de bon niveau";De temps en temps ;fiches references swing;BidGPT,ThalesGPT,Autre (Gemini, Copilot, Grok ou autre),
64;3/21/25 9:37:29;3/21/25 9:37:59;anonymous;Non;;;;;;;;;;;;;;;Aucun,
65;3/21/25 18:41:28;3/21/25 18:41:42;anonymous;Non;;;;;;;;;;;;;;;ThalesGPT,
66;3/21/25 20:26:02;3/21/25 20:30:47;anonymous;Oui;PM;2;Pour rechercher des informations relatives a nos metiers et clients ;Autre (ex : presentations, etc…);;;Recherche idees de POC;100% BidGPT (Chat);Tres satisfaisante;Forte;Moyen;Generation offre simple pour infogerance (foisonnements);De temps en temps ;?;ChatGPT,BidGPT,
67;3/25/25 15:58:31;3/25/25 16:00:29;anonymous;Oui;Bid management;3;En tant qu'outil d'aide a la redaction d'offres techniques dans le cadre de RAO (Reponse a Appel d'Offre) ou RFP (Request for Proposal);;;;;50% BidGPT (Chat) - 50% Paraphrase;Satisfaisante;Moyen;Essentiel;"Avoir la possibilite d'analyser des exigences et de produire des ""ebauches de reponses""";Regulierement;Swing et MyCV;BidGPT,ThalesGPT,ChatGPT,
